cod_uf,cod_municipio,dsc_municipio,num_cnae,dsc_setor_1,dsc_setor_2,dsc_programa,dsc_linha_financiamento,dsc_atividade,dsc_porte,dsc_finalidade,num_operacao_contratada,vlr_contrato,dsc_fonte,num_ano,Tipologia_do_Municipio,Semiarido
GO,5208707,GOIANIA,Lavanderias,Empresarial,Comércio e Serviços,-,Comércio e Serviços,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS,Pequeno,Custeio isolado/ Comercialização,1,6890,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Cabeleireiros, manicure e pedicure",Empresarial,Comércio e Serviços,-,Comércio e Serviços,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS,Pequeno,Capital de Giro Isolado,1,200000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio a varejo de automóveis, camionetas e utilitários usados",Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Pequeno,Capital de Giro Isolado,1,300000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio a varejo de motocicletas e motonetas novas,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Médio I,Capital de Giro Isolado,1,110000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio a varejo de peças e acessórios novos para motocicletas e motonetas,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Pequeno,Capital de Giro Isolado,1,170000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio a varejo de peças e acessórios novos para veículos automotores,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Pequeno-Médio,Capital de Giro Isolado,1,200000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio a varejo de peças e acessórios usados para veículos automotores,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Pequeno,Capital de Giro Isolado,1,150000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio atacadista de materiais de construção em geral,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno,Capital de Giro Isolado,1,200000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio atacadista de medicamentos e drogas de uso humano,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Médio I,Capital de Giro Isolado,2,998000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno-Médio,Capital de Giro Isolado,1,490000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio atacadista de produtos alimentícios em geral,Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Médio I,Capital de Giro Isolado,1,490000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio atacadista de tintas, vernizes e similares",Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno,Capital de Giro Isolado,1,147000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,"Comércio atacadista de vidros, espelhos e vitrais",Empresarial,Comércio e Serviços,-,Comércio e Serviços,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",Pequeno,Capital de Giro Isolado,1,110000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio por atacado de peças e acessórios novos para veículos automotores,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,Médio I,Capital de Giro Isolado,1,490000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de artigos de papelaria,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,220000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de calçados,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,100000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Médio I,Capital de Giro Isolado,1,490000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de ferragens e ferramentas,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,82000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de lubrificantes,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,320000,FCO,2024,Alta Renda e Médio Dinamismo,não
GO,5208707,GOIANIA,Comércio varejista de materiais de construção não especificados anteriormente,Empresarial,Comércio e Serviços,-,Comércio e Serviços,COMÉRCIO VAREJISTA,Pequeno,Capital de Giro Isolado,1,350000,FCO,2024,Alta Renda e Médio Dinamismo,não
